repository_code	analysis_id	object_id	file_type	file_name	file_size	md5sum	index_object_id	donor_id	sample_id(s)	program_id
song.toronto	ca2e58df-ef7f-4e34-ae58-dfef7fde3464	3ef0f89f-3818-58d7-b5be-4bbc9828146a	VCF	PACA-CA.DO35228.SA413246.wxs.20201118.gatk-mutect2.somatic.snv.open-filter.vcf.gz	46847	5f9fb1b5f487f81cef949297a6169d65	14d8376c-4b9e-5eac-8a07-02a936ddce93	DO35228	SA413246	PACA-CA
song.toronto	94d93c60-5a27-418c-993c-605a27c18c7d	80a5f737-a4a9-5866-a46f-15744dccca18	VCF	PACA-CA.DO35226.SA412515.wxs.20210111.gatk-mutect2.somatic.snv.open-filter.vcf.gz	33737	6836b7f61a195c93bea6eaf1573fdc61	0b1ee0d0-a882-5fe0-ac8d-999885bc6082	DO35226	SA412515	PACA-CA
song.toronto	daa3d9f6-7d39-4cd7-a3d9-f67d39bcd733	a414fd6c-f776-5520-bf39-6b8b744682c0	VCF	PACA-CA.DO35226.SA412515.wxs.20210111.gatk-mutect2.somatic.indel.open-filter.vcf.gz	30001	3e663d1ee080b8a0f0b0f7f8e66f37a3	353b170f-6ea9-5df4-bfec-5d89a0ed091e	DO35226	SA412515	PACA-CA
song.toronto	549b90c5-f330-44a7-9b90-c5f33004a781	0b9eaa8c-bb70-586d-9a4f-98e45ec90738	VCF	PACA-CA.DO35222.SA413121.wxs.20201118.gatk-mutect2.somatic.snv.open-filter.vcf.gz	43285	1e8893129b82946d311c0ce248fc2fc7	160d8518-26ec-52ab-8536-65e444972241	DO35222	SA413121	PACA-CA
song.toronto	4abdb64f-34a2-4c8a-bdb6-4f34a22c8ada	4134f50a-64a8-53ea-a96e-2477517d6dfb	VCF	PACA-CA.DO35222.SA413121.wxs.20201118.gatk-mutect2.somatic.indel.open-filter.vcf.gz	27060	0b2ae14fad8633c9e58f301977361cb6	3fa2f22c-301d-5a31-af3c-6c470fb0b606	DO35222	SA413121	PACA-CA
song.toronto	6413f556-99e7-41c7-93f5-5699e761c768	45f7412f-a9e9-5fd7-b857-ada5525f6854	VCF	PACA-CA.DO35210.SA412964.wxs.20210112.gatk-mutect2.somatic.indel.open-filter.vcf.gz	53141	7c8a832f0c4d42063f61cc825cbdb59f	c2922cdc-73f9-5adc-974a-c239bbf7fef3	DO35210	SA412964	PACA-CA
song.toronto	f16b5005-5ce6-493c-ab50-055ce6693ccf	c61d4737-f095-512c-a7a2-6170daeb26f6	VCF	PACA-CA.DO35210.SA412964.wxs.20210112.gatk-mutect2.somatic.snv.open-filter.vcf.gz	29125	e8289d7df92c28930091993122f6e573	144c9f07-c0d5-5763-9652-1963de4e8cb4	DO35210	SA412964	PACA-CA
song.toronto	9a9fba94-091f-471c-9fba-94091f471cb9	31df1a04-4f18-5574-8f34-71bc9bb0501e	VCF	PACA-CA.DO35184.SA412935.wxs.20201118.gatk-mutect2.somatic.snv.open-filter.vcf.gz	30976	d04ee56b980b9b1fe290e92fa00ef536	96456ee9-2d32-59ca-94ef-223e9c31a5f7	DO35184	SA412935	PACA-CA
song.toronto	1517683d-0186-4b07-9768-3d01865b078a	5f628b4a-1780-5d5f-a4e8-8c3540098ef6	VCF	PACA-CA.DO35184.SA412935.wxs.20201118.gatk-mutect2.somatic.indel.open-filter.vcf.gz	42233	4f0815149cbb20eae4a50e5595df26d1	0052e126-0288-536a-b4f0-e8f8466a886f	DO35184	SA412935	PACA-CA
song.toronto	215ddff9-f4cf-42d5-9ddf-f9f4cf02d5fc	0e31c284-a395-51bb-8751-ccf710792566	VCF	PACA-CA.DO35152.SA413193.wxs.20201119.gatk-mutect2.somatic.indel.open-filter.vcf.gz	30226	098e878fa9b0b58ee00ac69b6d057852	1ac88143-ff1d-5881-96af-c40c3b3d3cb2	DO35152	SA413193	PACA-CA
song.toronto	9788ba98-e376-4fe9-88ba-98e376bfe976	8cd45ff8-79a4-5e4d-a299-aec942676c93	VCF	PACA-CA.DO35152.SA413193.wxs.20201119.gatk-mutect2.somatic.snv.open-filter.vcf.gz	34935	da0135c04c1c17b82c4f88994d784e01	16d9c6db-a974-5b3d-8111-f8e1a78d4004	DO35152	SA413193	PACA-CA
song.toronto	c79543c3-6867-4ebc-9543-c36867aebc25	a1c2bbf7-7575-58b2-b520-2baf335a72e9	VCF	PACA-CA.DO35144.SA412750.wxs.20210111.gatk-mutect2.somatic.snv.open-filter.vcf.gz	35074	b56539c12deb76bdad9a6a8016044c4d	461a7111-e5ce-51e8-bb0f-ffb53c3292c9	DO35144	SA412750	PACA-CA
song.toronto	17e21379-1ee7-4261-a213-791ee7f261d9	eafed15d-336b-535f-9d5f-9a63bcca4a2d	VCF	PACA-CA.DO35144.SA412750.wxs.20210111.gatk-mutect2.somatic.indel.open-filter.vcf.gz	27586	bfcac65c72f358075910f4480432b17d	582e9da9-ed2a-5217-88e8-2292b8c7f8f3	DO35144	SA412750	PACA-CA
song.toronto	345532d7-c087-486d-9532-d7c087f86d6d	95c1ff92-2019-565a-9736-28a4face5f08	VCF	PACA-CA.DO35136.SA412702.wxs.20201119.gatk-mutect2.somatic.snv.open-filter.vcf.gz	35762	f699bac139a5b5286ac721db6c9a195f	415d5d13-93e2-50c7-ab67-80159e702204	DO35136	SA412702	PACA-CA
